	mu	var	coef
peak61582	1.9278482105702046	0.04970181032283945	0.0057298836037205595
peak61747	3.0270732317507645	0.013763553770320494	-0.000503400568185479
peak62007	2.4581513362675578	0.05054083295315693	-0.08418639258609197
peak62105	1.7028523697422782	0.061968585079482594	0.21036439750298314
peak62404	1.8860517036689401	0.037911153407154626	-0.0022188041735648352
peak63082	1.5592989816410912	0.05672935478994157	-0.22474825407775528
peak63197	2.049769458738136	0.0628892701526862	-0.006685809148025779
peak63243	2.037141139183534	0.07156766337257994	-0.01741946239765478
peak64029	2.574480657623218	0.02742250892342988	0.002764149072263486
peak64057	3.1991632463130157	0.00895676402425336	0.0034750330969979823
peak64380	1.6303902546240168	0.150150134550066	0.24440819319113113
peak64917	1.6588497171384746	0.07459647308197462	0.058925791245353965
peak65078	2.1783563240962875	0.020940767975227564	0.0009846269612842039
peak65230	1.3739587389343673	0.19632826255212818	-0.03317816865758757
peak65368	1.6673125683082437	0.12185415611284152	-0.045037233756661375
peak65541	2.5461072919008703	0.057786687859568905	-0.02032555698386079
peak65573	2.9335165590112378	0.01679930601943883	0.10913950909029978
peak66320	1.3762898214148402	0.07522619707341337	-0.020499864370249254
peak66511	1.789248333425431	0.04045596814866197	-0.16393314526319808
peak67319	1.796780618661333	0.08428802334538214	-0.07760810714311021
peak67321	1.5638772015180782	0.08275417128542442	-4.5291897982435485e-06
peak69211	1.6656063399551737	0.0999846423290326	-0.007232896204789999
peak69398	1.93957930066289	0.120754740756991	0.05546604973652518
peak69515	1.9634356590209556	0.03060888981371444	0.3158983387005536
peak69558	1.343150508351177	0.19876686117945686	0.002135998757151569
peak69642	2.0844265782119065	0.11891566423802462	0.019362743199287376
peak69659	1.2749689143087914	0.07031132830205303	-0.2011240914159
peak69669	1.7701748604696743	0.10954913874464377	-0.6617145081717646
peak70605	1.7142595374933285	0.06656435403095061	0.018511794854854824
peak70831	2.5587355524408526	0.024031456407922272	-0.00399176146193735
peak70976	2.516832918034885	0.03839762698967352	0.5942396201621027
peak71268	2.3999473161241602	0.04904222112498784	0.18654561433826697
peak72056	2.0866162316431294	0.030314258789142717	-0.15392496836533465
peak74025	2.483850118100243	0.03542258302251525	0.05442358690669791
peak75072	1.4656637099694043	0.06979116227821465	0.25103514621873896
peak75655	2.1031373611034656	0.02013444244233633	0.38691668027321796
peak75994	2.163107666455721	0.03194329295576492	-0.1806229149546574
peak76627	2.063987962312141	0.026083550720118625	-0.007470949410383557
peak78133	1.7761397314916867	0.12112225114435968	0.0027493958408600205
peak78868	1.5361744958895163	0.025736548424655538	0.0259953694308966
peak79307	2.302743114029966	0.03883653566788986	0.331508632463639
peak79341	1.9244592706408037	0.05585011243739048	0.30287994513286626
peak79420	1.8561112500992323	0.05422419212261351	0.16475138035622688
peak79439	1.7950517681548395	0.052152531956675754	0.47451004257013435
peak79513	1.524129620516423	0.11118999890774664	0.24775369747844686
intercept			46.3986013986014
